donor,model,coverage,macro_f1
3K,xgb,0.7735486351403307,0.996700261544901
3K,xgb,0.7600922722029988,0.9966736561363663
3K,xgb,0.7400999615532488,0.9966255499821193
3K,xgb,0.7201076509034987,0.9957131624953427
3K,xgb,0.7001153402537486,0.9956348574830126
3K,xgb,0.6801230296039985,0.9961131718371373
3K,xgb,0.6601307189542484,0.9965501688787058
3K,xgb,0.6401384083044983,0.9964506997706901
3K,xgb,0.6201460976547482,0.9963353777735845
3K,xgb,0.6001537870049981,0.9962037185109696
3K,xgb,0.580161476355248,0.9964743737575574
3K,xgb,0.5601691657054979,0.9963078777504141
3K,xgb,0.5401768550557478,0.9967647296771462
3K,xgb,0.5201845444059977,0.9965719824956254
3K,xgb,0.5001922337562476,0.9963362134398471
3K,xgb,0.4801999231064975,0.9960725753821809
3K,xgb,0.4602076124567474,0.9958085649378612
3K,xgb,0.4402153018069973,0.9940203396450921
3K,xgb,0.4202229911572472,0.9935252396713308
3K,xgb,0.4002306805074971,0.9956949997102962
3K,xgb,0.380238369857747,0.9952572578327105
3K,xgb,0.3602460592079969,0.9949243787692211
3K,xgb,0.3402537485582468,0.9946069449157334
3K,xgb,0.3202614379084967,0.9954103137408469
3K,xgb,0.30026912725874666,0.9967188753435646
3K,xgb,0.28027681660899656,0.9982138763468189
3K,xgb,0.2606689734717416,0.998020571213662
3K,xgb,0.24029219530949636,0.997786982739103
3K,xgb,0.22029988465974626,0.9975183333126528
3K,xgb,0.20069204152249134,0.997216467804703
3K,xgb,0.18031526336024606,1.0
3K,xgb,0.16032295271049596,1.0
3K,xgb,0.14033064206074586,1.0
3K,xgb,0.12033833141099577,1.0
3K,xgb,0.10034602076124567,1.0
3K,xgb,0.08035371011149559,1.0
3K,xgb,0.060361399461745485,1.0
3K,xgb,0.041138023836985775,1.0
3K,xgb,0.020761245674740483,1.0
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,1.0,0.9719856918027039
3K,sann,0.9996155324875048,0.971984027117607
3K,sann,0.9988465974625144,0.9719806908471641
3K,sann,0.998077662437524,0.9718880349677448
3K,sann,0.9976931949250288,0.9718863610600325
3K,sann,0.9965397923875432,0.9717908403882858
3K,sann,0.9961553248750481,0.9716974697066798
3K,sann,0.9950019223375625,0.9716924200802739
3K,sann,0.9934640522875817,0.9719127016873124
3K,sann,0.9930795847750865,0.9725900849521679
3K,sann,0.9903883121876201,0.9724891732781951
3K,sann,0.9876970396001538,0.9722956564984211
3K,sann,0.9838523644752019,0.9735886103934813
3K,sann,0.98000768935025,0.9747253760342355
3K,sann,0.9780853517877739,0.9750757408964905
3K,sann,0.9734717416378316,0.9748920813005961
3K,sann,0.9692425990003845,0.9754353788980914
3K,sann,0.962322183775471,0.9760663293290032
3K,sann,0.9600153787004998,0.9831132780659073
3K,sann,0.9530949634755863,0.9829265956094929
3K,sann,0.9407920030757401,0.984324446143422
3K,sann,0.9400230680507498,0.9843215743614511
3K,sann,0.9281045751633987,0.9840516516854997
3K,sann,0.9200307574009996,0.9839426014799753
